Var1,temp1,temp2,temp3,pop1,Var2,temp4,temp5,temp6,pop2,popcomp,pop_comp,Qual_ecology_score,APS,Correlation,Ecology,temp,Geography,combined,APS2,comparison,least.cost.distance,euc.distance
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,lake,boot lake,pacific,marine,roberts,lake,roberts lake,boot lake_roberts lake,boot_lake_roberts_lake,3,Allopatric,0.637909882, Same_Ecology, boot    roberts  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_boot lake_pacific_roberts lake,0,12
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,stream,boot stream,pacific,marine,constance,stream,constance stream,boot stream_constance stream,boot_stream_constance_stream,3,Allopatric,0.399731197, Same_Ecology, boot    constance  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_boot stream_pacific_constance stream,20648.0939,8346
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,stream,boot stream,pacific,marine,geneva,stream,geneva stream,boot stream_geneva stream,boot_stream_geneva_stream,3,Allopatric,0.332202214, Same_Ecology, boot    geneva  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_boot stream_pacific_geneva stream,18751.88307,8359
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,stream,boot stream,pacific,marine,joes,stream,joes stream,boot stream_joes stream,boot_stream_joes_stream,3,Allopatric,0.563243585, Same_Ecology, boot    joes  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_boot stream_pacific_joes stream,874.3524653,146
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,stream,boot stream,pacific,marine,misty,stream,misty stream,boot stream_misty stream,boot_stream_misty_stream,3,Allopatric,0.640711509, Same_Ecology, boot    misty  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_boot stream_pacific_misty stream,883.6852253,136
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,stream,boot stream,pacific,marine,roberts,stream,roberts stream,boot stream_roberts stream,boot_stream_roberts_stream,3,Allopatric,0.648391007, Same_Ecology, boot    roberts  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_boot stream_pacific_roberts stream,0,14
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,stream,boot stream,pacific,marine,wc,stream,wc stream,boot stream_wc stream,boot_stream_wc_stream,3,Allopatric,0.474892736, Same_Ecology, boot    wc  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_boot stream_pacific_wc stream,961.0868583,770
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,lake,constance lake,pacific,marine,geneva,lake,geneva lake,constance lake_geneva lake,constance_lake_geneva_lake,3,Allopatric,0.608193143, Same_Ecology, constance    geneva  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_constance lake_pacific_geneva lake,1906.331695,247
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,lake,constance lake,pacific,marine,hadsten,lake,hadsten lake,constance lake_hadsten lake,constance_lake_hadsten_lake,3,Allopatric,0.250633203, Same_Ecology, constance    hadsten  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_constance lake_pacific_hadsten lake,7530.341319,1002
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,lake,constance lake,pacific,marine,hald,lake,hald lake,constance lake_hald lake,constance_lake_hald_lake,3,Allopatric,0.303743827, Same_Ecology, constance    hald  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_constance lake_pacific_hald lake,7117.558398,1007
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,lake,constance lake,pacific,marine,joes,lake,joes lake,constance lake_joes lake,constance_lake_joes_lake,3,Allopatric,0.386764844, Same_Ecology, constance    joes  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_constance lake_pacific_joes lake,19967.57576,8382
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,lake,constance lake,pacific,marine,misty,lake,misty lake,constance lake_misty lake,constance_lake_misty_lake,3,Allopatric,0.446756961, Same_Ecology, constance    misty  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_constance lake_pacific_misty lake,19967.57576,8379
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,lake,constance lake,pacific,marine,mud,lake,mud lake,constance lake_mud lake,constance_lake_mud_lake,3,Allopatric,0.301258146, Same_Ecology, constance    mud  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_constance lake_pacific_mud lake,18493.23014,7752
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,lake,constance lake,pacific,marine,pcr,lake,pcr lake,constance lake_pcr lake,constance_lake_pcr_lake,3,Allopatric,0.364134364, Same_Ecology, constance    pcr  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_constance lake_pacific_pcr lake,20770.9961,8814
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,lake,constance lake,pacific,marine,roberts,lake,roberts lake,constance lake_roberts lake,constance_lake_roberts_lake,3,Allopatric,0.467857866, Same_Ecology, constance    roberts  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_constance lake_pacific_roberts lake,20648.0939,8337
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,stream,constance stream,pacific,marine,geneva,stream,geneva stream,constance stream_geneva stream,constance_stream_geneva_stream,3,Allopatric,0.609440334, Same_Ecology, constance    geneva  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_constance stream_pacific_geneva stream,1906.331695,236
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,stream,constance stream,pacific,marine,joes,stream,joes stream,constance stream_joes stream,constance_stream_joes_stream,3,Allopatric,0.393001422, Same_Ecology, constance    joes  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_constance stream_pacific_joes stream,19967.57576,8382
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,stream,constance stream,pacific,marine,misty,stream,misty stream,constance stream_misty stream,constance_stream_misty_stream,3,Allopatric,0.423956691, Same_Ecology, constance    misty  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_constance stream_pacific_misty stream,19967.57576,8377
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,stream,constance stream,pacific,marine,roberts,stream,roberts stream,constance stream_roberts stream,constance_stream_roberts_stream,3,Allopatric,0.442988283, Same_Ecology, constance    roberts  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_constance stream_pacific_roberts stream,20648.0939,8335
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,constance,stream,constance stream,pacific,marine,wc,stream,wc stream,constance stream_wc stream,constance_stream_wc_stream,3,Allopatric,0.36990967, Same_Ecology, constance    wc  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_constance stream_pacific_wc stream,20830.26688,8965
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,geneva,lake,geneva lake,pacific,marine,hadsten,lake,hadsten lake,geneva lake_hadsten lake,geneva_lake_hadsten_lake,3,Allopatric,0.294252838, Same_Ecology, geneva    hadsten  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_geneva lake_pacific_hadsten lake,5634.130484,1143
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,geneva,lake,geneva lake,pacific,marine,hald,lake,hald lake,geneva lake_hald lake,geneva_lake_hald_lake,3,Allopatric,0.313427675, Same_Ecology, geneva    hald  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_geneva lake_pacific_hald lake,5221.347563,1139
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,geneva,lake,geneva lake,pacific,marine,joes,lake,joes lake,geneva lake_joes lake,geneva_lake_joes_lake,3,Allopatric,0.37451048, Same_Ecology, geneva    joes  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_geneva lake_pacific_joes lake,18071.36492,8381
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,geneva,lake,geneva lake,pacific,marine,misty,lake,misty lake,geneva lake_misty lake,geneva_lake_misty_lake,3,Allopatric,0.385843181, Same_Ecology, geneva    misty  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_geneva lake_pacific_misty lake,18071.36492,8377
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,geneva,lake,geneva lake,pacific,marine,mud,lake,mud lake,geneva lake_mud lake,geneva_lake_mud_lake,3,Allopatric,0.238610549, Same_Ecology, geneva    mud  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_geneva lake_pacific_mud lake,16597.0193,7819
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,geneva,lake,geneva lake,pacific,marine,pcr,lake,pcr lake,geneva lake_pcr lake,geneva_lake_pcr_lake,3,Allopatric,0.286808895, Same_Ecology, geneva    pcr  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_geneva lake_pacific_pcr lake,18874.78526,8781
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,geneva,lake,geneva lake,pacific,marine,roberts,lake,roberts lake,geneva lake_roberts lake,geneva_lake_roberts_lake,3,Allopatric,0.406756168, Same_Ecology, geneva    roberts  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_geneva lake_pacific_roberts lake,18751.88307,8330
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,geneva,stream,geneva stream,pacific,marine,joes,stream,joes stream,geneva stream_joes stream,geneva_stream_joes_stream,3,Allopatric,0.368170628, Same_Ecology, geneva    joes  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_geneva stream_pacific_joes stream,18071.36492,8400
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,geneva,stream,geneva stream,pacific,marine,misty,stream,misty stream,geneva stream_misty stream,geneva_stream_misty_stream,3,Allopatric,0.390180712, Same_Ecology, geneva    misty  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_geneva stream_pacific_misty stream,18071.36492,8395
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,geneva,stream,geneva stream,pacific,marine,roberts,stream,roberts stream,geneva stream_roberts stream,geneva_stream_roberts_stream,3,Allopatric,0.398126944, Same_Ecology, geneva    roberts  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_geneva stream_pacific_roberts stream,18751.88307,8348
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,geneva,stream,geneva stream,pacific,marine,wc,stream,wc stream,geneva stream_wc stream,geneva_stream_wc_stream,3,Allopatric,0.325410084, Same_Ecology, geneva    wc  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_geneva stream_pacific_wc stream,18934.05605,8960
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,hadsten,lake,hadsten lake,pacific,marine,hald,lake,hald lake,hadsten lake_hald lake,hadsten_lake_hald_lake,3,Allopatric,0.59314878, Same_Ecology, hadsten    hald  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_hadsten lake_pacific_hald lake,406.3070256,43
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,hadsten,lake,hadsten lake,pacific,marine,joes,lake,joes lake,hadsten lake_joes lake,hadsten_lake_joes_lake,3,Allopatric,0.11875098, Same_Ecology, hadsten    joes  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_hadsten lake_pacific_joes lake,14114.11412,7519
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,hadsten,lake,hadsten lake,pacific,marine,misty,lake,misty lake,hadsten lake_misty lake,hadsten_lake_misty_lake,3,Allopatric,0.129718682, Same_Ecology, hadsten    misty  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_hadsten lake_pacific_misty lake,14114.11412,7517
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,hadsten,lake,hadsten lake,pacific,marine,mud,lake,mud lake,hadsten lake_mud lake,hadsten_lake_mud_lake,3,Allopatric,0.172128901, Same_Ecology, hadsten    mud  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_hadsten lake_pacific_mud lake,12639.76851,6781
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,hadsten,lake,hadsten lake,pacific,marine,pcr,lake,pcr lake,hadsten lake_pcr lake,hadsten_lake_pcr_lake,3,Allopatric,0.153272436, Same_Ecology, hadsten    pcr  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_hadsten lake_pacific_pcr lake,14917.53447,8023
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,hadsten,lake,hadsten lake,pacific,marine,roberts,lake,roberts lake,hadsten lake_roberts lake,hadsten_lake_roberts_lake,3,Allopatric,0.129796271, Same_Ecology, hadsten    roberts  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_hadsten lake_pacific_roberts lake,14794.63227,7486
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,hald,lake,hald lake,pacific,marine,joes,lake,joes lake,hald lake_joes lake,hald_lake_joes_lake,3,Allopatric,0.128336852, Same_Ecology, hald    joes  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_hald lake_pacific_joes lake,13838.95003,7494
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,hald,lake,hald lake,pacific,marine,misty,lake,misty lake,hald lake_misty lake,hald_lake_misty_lake,3,Allopatric,0.169216404, Same_Ecology, hald    misty  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_hald lake_pacific_misty lake,13838.95003,7491
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,hald,lake,hald lake,pacific,marine,mud,lake,mud lake,hald lake_mud lake,hald_lake_mud_lake,3,Allopatric,0.194214416, Same_Ecology, hald    mud  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_hald lake_pacific_mud lake,12364.60441,6767
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,hald,lake,hald lake,pacific,marine,pcr,lake,pcr lake,hald lake_pcr lake,hald_lake_pcr_lake,3,Allopatric,0.165807913, Same_Ecology, hald    pcr  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_hald lake_pacific_pcr lake,14642.37037,7993
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,hald,lake,hald lake,pacific,marine,roberts,lake,roberts lake,hald lake_roberts lake,hald_lake_roberts_lake,3,Allopatric,0.136804, Same_Ecology, hald    roberts  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_hald lake_pacific_roberts lake,14519.46818,7460
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,joes,lake,joes lake,pacific,marine,misty,lake,misty lake,joes lake_misty lake,joes_lake_misty_lake,3,Allopatric,0.583550107, Same_Ecology, joes    misty  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_joes lake_pacific_misty lake,32.31526693,10
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,joes,lake,joes lake,pacific,marine,mud,lake,mud lake,joes lake_mud lake,joes_lake_mud_lake,3,Allopatric,0.406078593, Same_Ecology, joes    mud  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_joes lake_pacific_mud lake,2000.329369,1819
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,joes,lake,joes lake,pacific,marine,pcr,lake,pcr lake,joes lake_pcr lake,joes_lake_pcr_lake,3,Allopatric,0.464163741, Same_Ecology, joes    pcr  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_joes lake_pacific_pcr lake,969.6346534,902
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,joes,lake,joes lake,pacific,marine,roberts,lake,roberts lake,joes lake_roberts lake,joes_lake_roberts_lake,3,Allopatric,0.596837058, Same_Ecology, joes    roberts  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_joes lake_pacific_roberts lake,874.3524653,142
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,joes,stream,joes stream,pacific,marine,misty,stream,misty stream,joes stream_misty stream,joes_stream_misty_stream,3,Allopatric,0.596118611, Same_Ecology, joes    misty  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_joes stream_pacific_misty stream,32.31526693,11
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,joes,stream,joes stream,pacific,marine,roberts,stream,roberts stream,joes stream_roberts stream,joes_stream_roberts_stream,3,Allopatric,0.602096939, Same_Ecology, joes    roberts  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_joes stream_pacific_roberts stream,874.3524653,142
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,joes,stream,joes stream,pacific,marine,wc,stream,wc stream,joes stream_wc stream,joes_stream_wc_stream,3,Allopatric,0.477217129, Same_Ecology, joes    wc  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_joes stream_pacific_wc stream,1054.886729,838
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,lq,benthic,lq benthic,pacific,marine,pax,benthic,pax benthic,lq benthic_pax benthic,lq_benthic_pax_benthic,3,Allopatric,0.758416019, Same_Ecology, lq    pax  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_lq benthic_pacific_pax benthic,28.79342402,30
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,lq,benthic,lq benthic,pacific,marine,pri,benthic,pri benthic,lq benthic_pri benthic,lq_benthic_pri_benthic,3,Allopatric,0.78519984, Same_Ecology, lq    pri  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_lq benthic_pacific_pri benthic,36.82027115,34
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,lq,limnetic,lq limnetic,pacific,marine,pax,limnetic,pax limnetic,lq limnetic_pax limnetic,lq_limnetic_pax_limnetic,3,Allopatric,0.590107116, Same_Ecology, lq    pax  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_lq limnetic_pacific_pax limnetic,28.79342402,30
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,lq,limnetic,lq limnetic,pacific,marine,pri,limnetic,pri limnetic,lq limnetic_pri limnetic,lq_limnetic_pri_limnetic,3,Allopatric,0.598233837, Same_Ecology, lq    pri  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_lq limnetic_pacific_pri limnetic,36.82027115,34
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,misty,lake,misty lake,pacific,marine,mud,lake,mud lake,misty lake_mud lake,misty_lake_mud_lake,3,Allopatric,0.556585211, Same_Ecology, misty    mud  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_misty lake_pacific_mud lake,2006.69708,1826
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,misty,lake,misty lake,pacific,marine,pcr,lake,pcr lake,misty lake_pcr lake,misty_lake_pcr_lake,3,Allopatric,0.611856595, Same_Ecology, misty    pcr  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_misty lake_pacific_pcr lake,978.9674133,896
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,misty,lake,misty lake,pacific,marine,roberts,lake,roberts lake,misty lake_roberts lake,misty_lake_roberts_lake,3,Allopatric,0.755867147, Same_Ecology, misty    roberts  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_misty lake_pacific_roberts lake,883.6852253,132
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,misty,stream,misty stream,pacific,marine,roberts,stream,roberts stream,misty stream_roberts stream,misty_stream_roberts_stream,3,Allopatric,0.725095077, Same_Ecology, misty    roberts  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_misty stream_pacific_roberts stream,883.6852253,132
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,misty,stream,misty stream,pacific,marine,wc,stream,wc stream,misty stream_wc stream,misty_stream_wc_stream,3,Allopatric,0.566286692, Same_Ecology, misty    wc  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_misty stream_pacific_wc stream,1064.219489,834
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,mud,lake,mud lake,pacific,marine,pcr,lake,pcr lake,mud lake_pcr lake,mud_lake_pcr_lake,3,Allopatric,0.508185697, Same_Ecology, mud    pcr  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_mud lake_pacific_pcr lake,2777.670159,2718
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,mud,lake,mud lake,pacific,marine,roberts,lake,roberts lake,mud lake_roberts lake,mud_lake_roberts_lake,3,Allopatric,0.550750621, Same_Ecology, mud    roberts  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_mud lake_pacific_roberts lake,2682.387971,1928
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,pax,benthic,pax benthic,pacific,marine,pri,benthic,pri benthic,pax benthic_pri benthic,pax_benthic_pri_benthic,3,Allopatric,0.840602563, Same_Ecology, pax    pri  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_pax benthic_pacific_pri benthic,27.22246315,5
,,,,,,,,,,,,,,,,,,,,,,
